image,name,description
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AlicelCard.png,Alicel,"Alicel is a Third Generation robot developed by the Kiel Hyre Foundation. It was mostly designed by Kiel Hyre's son, Kiel Jr. Most of the robots that were developed by Kiel Hyre foundation were sold to the Rekenber Corporation, including the Third Generation robots."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AlicelRO2.png,Alicel RO2,"Alicel was once a student of the Kiel Hyre Academy. The academy was actually a prototype testing ground for Third Generation robots. They were trained there to interact and learn to be more like Normans. Apart from that, each robot was design to master specific tasks to make them experts in their field. It is noted that most of the prototypes including Alicel do not know that they are robot. They all think they are orphans."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AlligatorCard.png,Alligator,Alligator is a humanoid alligator that is not that hostile compared to the Crocodile tribe.
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AmberniteCard.png,Ambernite,"Ambernite is a Snail. It may be weak, but its hard shell protects it from even the toughest attacks.[1] A snail-shaped monster, it has highly strong offense and defense. However, it is incredibly slow like all other snails."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AmdaraisCard.png,Amdarais,"Amdarais was formerly a Rune Knight name Geralt. He managed to defend the Heart of Ymir located at Glastheim Castle from Himmelmez, but was eventually defeated by the valkyrie. To punish him for wasting her time, Himmelmez tortured him using her magic and then mutated him into Amdarais. Even as Amdarais, Geralt still had his mind intact and tried to stop himself from attacking his commander Heinrich and the people he was with."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AngelingCard.png,Angeling,"Angeling is the final evolution form of Poring! Unlike its cute appearance, it is pretty strong. It has hated Normans ever since it spotted other innocent brethren get damaged by them."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AngelingRO2.png,Angeling RO2,"Angeling is a Mini-Boss of level 77, medium size which natural habitat is Juno fields."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AnolianCard.png,Anolian,"Anolian is a warrior of the Crocodile tribe, with the head of crocodile and the body of a Norman. Even though he's never been educated or trained, he's a still warrior. "
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AntEggCard.png,Ant Egg,"Ant Egg is a cluster of eggs that will become Andre, Piere or Deniro when hatched.[1] Merely an ant egg. It can't hurt you. An ant egg that is also defenseless. Some of them actually hatch, though."
ipfs://QmdxycfVS5McFV6s8HHodf5jVnsgBerpqTHdPJeSfTdTNa/Seed/rag/AnubisCard.png,Anubis,Anubis is the guardian of the Sphinx.
